,option,env,represented_by_env,kld
204,bmp,png-small,jpeg-large,0.0
205,bmp,png-small,jpeg-medium,0.0
206,bmp,png-small,jpeg-small,0.7274379412616849
207,bmp,png-small,png-large,0.04013838854011043
208,bmp,png-small,png-medium,0.09599996508206761
209,bmp,png-small,png-small,0.0
210,bmp,png-small,psd-large,0.0
211,bmp,png-small,psd-medium,0.015889755143275435
212,bmp,png-small,psd-small,0.12185167098472695
213,bmp,png-small,svg-large,0.41124626392113517
214,bmp,png-small,svg-medium,0.39338348218353625
215,bmp,png-small,svg-small,1.9683190575497402
216,bmp,psd-large,jpeg-large,3.0425719755796825
217,bmp,psd-large,jpeg-medium,3.183105357934915
218,bmp,psd-large,jpeg-small,5.117652188921844
219,bmp,psd-large,png-large,3.6268650736386836
220,bmp,psd-large,png-medium,4.305852464798953
221,bmp,psd-large,png-small,3.3741274480700505
222,bmp,psd-large,psd-large,0.0
223,bmp,psd-large,psd-medium,3.5198952190437467
224,bmp,psd-large,psd-small,3.480301620607378
225,bmp,psd-large,svg-large,4.3644052732002265
226,bmp,psd-large,svg-medium,4.026155307051579
227,bmp,psd-large,svg-small,6.291980235142336
228,bmp,psd-medium,jpeg-large,0.0
229,bmp,psd-medium,jpeg-medium,0.0
230,bmp,psd-medium,jpeg-small,0.6003518278240362
231,bmp,psd-medium,png-large,0.0
232,bmp,psd-medium,png-medium,0.023649503204507795
233,bmp,psd-medium,png-small,0.0
234,bmp,psd-medium,psd-large,0.0
235,bmp,psd-medium,psd-medium,0.0
236,bmp,psd-medium,psd-small,0.22602438746216547
237,bmp,psd-medium,svg-large,0.29691675074488566
238,bmp,psd-medium,svg-medium,0.5313750768631135
239,bmp,psd-medium,svg-small,2.371531582041532
240,bmp,psd-small,jpeg-large,0.07498208449786473
241,bmp,psd-small,jpeg-medium,0.03953365916875995
242,bmp,psd-small,jpeg-small,1.3490737033041629
243,bmp,psd-small,png-large,0.41724508629158125
244,bmp,psd-small,png-medium,0.6137648284598528
245,bmp,psd-small,png-small,0.12265407122585018
246,bmp,psd-small,psd-large,0.0
247,bmp,psd-small,psd-medium,0.29409604449888094
