,Unnamed: 0,params.rnd,Model,Subject System,params.exp_id,params.train_size,Relative Train Size,Pooling,params.experiment-type,Metric,Value
117495,6963,10,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,jump3r,uncertainty-learning-2024-05-30_17-49-03-full-run,14,0.75,complete,multitask,pMAPE,21.97499272993357
117496,6964,28,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,VP9,uncertainty-learning-2024-05-30_17-49-03-full-run,32,2,no,multitask,pMAPE,37.70784028423501
117497,6967,16,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,x264,uncertainty-learning-2024-05-30_17-49-03-full-run,78,3,no,multitask,pMAPE,67.10697834402566
117498,6968,24,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,z3,uncertainty-learning-2024-05-30_17-49-03-full-run,3,0.25,no,multitask,pMAPE,265.2520746689969
117499,6971,19,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,x264,uncertainty-learning-2024-05-30_17-49-03-full-run,78,3,complete,multitask,pMAPE,73.47305065491264
117500,6973,3,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,x264,uncertainty-learning-2024-05-30_17-49-03-full-run,3,0.125,complete,multitask,pMAPE,156.47403676667082
117501,6974,4,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,x264,uncertainty-learning-2024-05-30_17-49-03-full-run,52,2,no,multitask,pMAPE,73.37712911190746
117502,6975,8,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,H2,uncertainty-learning-2024-05-30_17-49-03-full-run,8,0.5,no,multitask,pMAPE,14.284290847464815
117503,6976,0,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,xz,uncertainty-learning-2024-05-30_17-49-03-full-run,23,0.75,no,multitask,pMAPE,88.11958344069318
117504,6977,1,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,lrzip,uncertainty-learning-2024-05-30_17-49-03-full-run,8,0.75,complete,multitask,pMAPE,222.9734831977381
117505,6981,4,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,VP9,uncertainty-learning-2024-05-30_17-49-03-full-run,4,0.25,complete,multitask,pMAPE,105.77913913057972
117506,6987,6,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,jump3r,uncertainty-learning-2024-05-30_17-49-03-full-run,28,1.5,no,multitask,pMAPE,32.296665114625526
